,city,country,latitude,longitude,date,temperature,humidity,cloudiness,windspeed
117,Lima,PE,-12.0432,-77.0282,,15.02,86,90,2.57
118,Cerro Blanco,HN,14.6667,-87.7833,,17.01,96,33,1.17
119,Tonantins,BR,-2.8731,-67.8022,,23.22,97,100,0.56
120,Fonte Boa,BR,-2.4959,-66.2662,,22.25,99,100,1.1
121,Villamontes,BO,-21.25,-63.5,,15.64,49,0,2.11
122,Pisco,PE,-13.7,-76.2167,,13.03,88,2,1.03
123,San Andrés,CO,12.5847,-81.7006,,26.01,94,20,1.54
124,Santo Antônio do Içá,BR,-3.1022,-67.9397,,23.19,98,100,0.62
125,Vilhena,BR,-12.7406,-60.1458,,19.13,96,99,1.81
126,Resistencia,AR,-27.4606,-58.9839,,11.16,92,0,1.03
127,Gemeente Wageningen,NL,51.9667,5.6667,,10.26,89,90,4.12
128,Mabaruma,GY,8.2,-59.7833,,22.85,99,79,1.5
129,Chilca,PE,-12.5211,-76.7372,,15.54,87,94,0.84
130,San Pedro de Macorís,DO,18.4616,-69.2972,,23.07,92,27,3.02
131,Japura,ID,-0.3167,102.35,,29.14,78,94,0.58
132,Oranjestad,AW,12.524,-70.027,,26.97,78,20,4.63
133,Jacareacanga,BR,-6.2222,-57.7528,,23.22,91,54,0.86
134,Três Lagoas,BR,-20.7511,-51.6783,,19.33,92,85,0.89
135,Seminole,US,28.7086,-81.2081,,23.32,94,90,2.06
136,Chaupimarca,PE,-10.4333,-76.5333,,2.58,89,73,0.6
137,Tipuani,BO,-15.5648,-68.0185,,17.49,97,94,0.76
138,Cassilândia,BR,-19.1133,-51.7342,,18.96,84,100,1.63
139,Sipe Sipe,BO,-17.45,-66.3833,,8.2,73,33,1.18
140,Orocué,CO,4.7912,-71.3354,,23.69,89,99,2.11
141,La Romana,DO,18.4273,-68.9728,,26.85,90,8,3.14
142,Niquero,CU,20.0431,-77.5828,,25.81,84,85,3.16
143,Metapán,SV,14.3333,-89.45,,21.05,97,30,0.53
144,Panabá,MX,21.2833,-88.2667,,24.24,97,83,2.59
145,Sucúa,EC,-2.4667,-78.1667,,18.76,96,17,1.48
146,El Seibo,DO,18.7641,-69.0375,,23.02,94,28,1.55
147,Sucre,BO,-19.0333,-65.2627,,8.42,75,6,0.72
148,Philadelphia,US,39.9523,-75.1638,,16.03,91,75,2.24
149,Mâncio Lima,BR,-7.6142,-72.8958,,23.24,89,24,1
150,Malbork,PL,54.0359,19.0266,,9.36,80,83,6.34
151,San Francisco,US,37.7749,-122.4194,,13.27,93,90,0.45
152,Inírida,CO,3.8653,-67.9239,,22.79,99,55,0.71
153,Province of Mantua,IT,45.1667,10.7833,,13.12,71,100,0.45
154,Cabo Rojo,PR,18.0866,-67.1457,,24.43,83,4,2.08
155,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,,22.32,100,100,0.79
156,Villa Bruzual,VE,9.3328,-69.1208,,22.22,93,85,2.06
157,Baracoa,CU,20.3467,-74.4958,,26.36,82,83,2.03
158,Gouyave,GD,12.1646,-61.7296,,26.43,83,75,8.75
159,Salinas,US,36.6777,-121.6555,,13.67,86,100,3.85
160,Kourou,GF,5.1552,-52.6478,,26.73,91,70,3.37
161,Spring Hill,US,28.4769,-82.5255,,22.52,68,75,0.45
162,Iralaya,HN,15,-83.2333,,26.73,86,100,3.93
163,Cáchira,CO,7.741,-73.0483,,13.94,94,100,1.32
164,Guánica,PR,17.9716,-66.908,,24.09,84,5,0.89
165,Chincha Alta,PE,-13.4099,-76.1323,,12.33,87,8,1.3
166,Rurrenabaque,BO,-14.4413,-67.5278,,17.39,98,100,0.88
167,Saint-Pierre,RE,-21.3393,55.4781,,26.05,71,90,4.63
168,Hualmay,PE,-11.0964,-77.6139,,15.99,87,46,3.47
169,Alvarães,BR,-3.2208,-64.8042,,22.74,100,100,1.09
170,San Miguel de Cozumel,MX,20.5083,-86.9458,,25.62,85,99,4.2
171,Libertador General San Martín,AR,-23.8064,-64.7876,,13.85,53,0,1
172,El Cobre,CU,20.0489,-75.9469,,23.12,93,63,0.7
173,Puerto Ayora,EC,-0.7393,-90.3518,,19.75,98,95,2.24
174,Bataiporã,BR,-22.2953,-53.2711,,16.58,83,46,1.45
175,Santa Cruz de la Sierra,BO,-17.8,-63.1667,,17.49,38,83,2.04
176,Guasdualito,VE,7.2424,-70.7324,,21.98,98,100,1.37
177,Pangoa,PE,-12.1167,-73,,19.19,100,100,1.64
178,Aparecida do Taboado,BR,-20.0867,-51.0936,,19.53,87,99,1.38
179,Lábrea,BR,-7.2586,-64.7981,,22.4,99,91,1.36
180,Rodrigues Alves,BR,-7.738,-72.6509,,23.2,90,23,0.88
181,City of San Pedro,PH,14.35,121.0167,,26.13,84,75,2.06
182,Humaitá,BR,-7.5061,-63.0208,,22.45,99,90,1.09
183,Coracora,PE,-15.0333,-73.7833,,7.74,24,5,1.54
184,Guácimo,CR,10.2104,-83.6807,,25.17,96,66,0.97
185,Urucará,BR,-2.5364,-57.76,,24.67,88,100,1.06
186,La Santisima Trinidad,BO,-14.8333,-64.9,,19.99,69,100,1.62
187,Isabela,PH,6.7085,121.9711,,30.03,79,21,0.44
188,St. George's,GD,12.0564,-61.7485,,26.82,83,75,8.75
189,Cascas,PE,-7.4833,-78.8167,,18.27,76,31,0.37
190,Chota,PE,-6.55,-78.65,,11.57,92,15,1.09
191,Ariquemes,BR,-9.9133,-63.0408,,22.07,98,100,1.09
192,Pauini,BR,-7.7136,-66.9764,,22.19,98,99,2.2
193,Lethem,GY,3.3803,-59.7968,,23.22,91,99,3.2
194,Canutama,BR,-6.5339,-64.3831,,22.78,97,92,1.3
195,Baños,EC,-1.4,-78.4167,,13.69,88,90,0.88
196,San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,,18.76,57,0,1.75
197,Abapó,BO,-18.8333,-63.4667,,12.99,56,59,1.1
198,Eldorado,BR,-23.7869,-54.2836,,14.49,82,0,1.2
199,Guarapuava,BR,-25.3953,-51.4581,,12.34,87,98,2.82
200,Cape Canaveral,US,28.4058,-80.6048,,24.36,93,90,1.54
201,Estelle,US,29.8458,-90.1067,,21.33,93,90,0
202,Narganá,PA,9.4428,-78.5906,,26.72,81,47,1.36
203,Puerto Rondón,CO,6.2805,-71.1,,22.68,94,84,2.45
204,Merritt Island,US,28.5392,-80.672,,24.14,93,20,1.54
205,Pacho,CO,5.1328,-74.1598,,15.76,96,70,0.92
206,Waspán,NI,14.7419,-83.9717,,23.2,98,91,0.33
207,Port Antonio,JM,18.18,-76.4612,,22.74,83,93,3.66
208,Arica,CL,-18.475,-70.3042,,13.13,71,75,2.06
209,Conceição do Araguaia,BR,-8.2578,-49.2647,,25.07,79,77,0.75
210,Black River,JM,18.0264,-77.8487,,26,86,90,2.12
211,Muisne,EC,0.6,-80.0333,,23.89,89,100,4.73
212,Nieuw Nickerie,SR,5.95,-56.9833,,25.43,88,99,5.11
213,Nuevitas,CU,21.5453,-77.2644,,24.05,91,92,1.81
214,Chimbote,PE,-9.0853,-78.5783,,16.3,87,85,2.43
215,Maní,CO,4.8172,-72.2886,,23.21,86,91,1.92
216,Isla Mujeres,MX,21.2311,-86.731,,25.65,87,97,4.73
217,Desaguadero,PE,-16.5656,-69.0417,,5.44,46,5,2.66
218,Yura,PE,-16.2522,-71.6797,,9.49,22,0,1.3
219,Iquitos,PE,-3.7481,-73.2472,,25.02,88,40,1.03
220,Goya,AR,-29.14,-59.2626,,13.99,66,0,2.5
221,Luanda,AO,-8.8368,13.2343,,26.68,66,100,3.54
222,Aguadilla,PR,18.4275,-67.1541,,24.28,92,4,0.45
223,Barão de Melgaço,BR,-16.1944,-55.9675,,22.29,94,96,1.77
224,Corinth,GR,37.9407,22.9573,,16.64,68,100,0.45
225,Caceres,ES,39.522,-6.3748,,14.89,41,76,1.93
226,El Tocuyo,VE,9.7873,-69.7937,,19.71,96,39,0.28
227,Puerto Asís,CO,0.5133,-76.5007,,21.27,99,92,0.92
228,Capitán Bado,PY,-23.2667,-55.5333,,14,83,4,2.01
229,Miraflores,MX,19.2167,-98.8083,,13.26,86,100,1.73
230,Putina,PE,-15.4667,-69.4333,,6.39,75,46,2.98
231,Santo Tomas,PH,14.1079,121.1414,,25.41,90,84,2.56
232,Bonfim,BR,3.0833,-59.95,,23.35,89,88,2.09
233,Cartagena del Chairá,CO,1.3349,-74.8429,,21.88,98,86,1.2
234,Puerto Ayacucho,VE,5.6639,-67.6236,,23.39,93,66,2.23
235,Pizarro,CO,4.9533,-77.366,,24.58,88,78,0.39
236,Santiago,CL,-33.4569,-70.6483,,16.03,39,0,2.57
